name,parent,value
Elever med höga betyg,null,5
Blekinge län,Elever med höga betyg,31
Skåne län,Elever med höga betyg,31
Kronobergs län,Elever med höga betyg,12
Kalmar län,Elever med höga betyg,9
Stockholms län,Elever med höga betyg,3
Västra Götalands län,Elever med höga betyg,3
Övriga län,Elever med höga betyg,11
